기준_년분기_코드,업종,상권_코드,총 매출
20203,판매업,동대문구,1031200555126
20203,판매업,동작구,434612444991
20203,판매업,마포구,567757640662
20203,판매업,서대문구,384236721748
20203,판매업,서초구,443536901974
20203,판매업,성동구,385595758248
20203,판매업,성북구,367777952142
20203,판매업,송파구,672102515444
20203,판매업,양천구,315169308110
20203,판매업,영등포구,1087266254526
20203,판매업,용산구,747817033423
20203,판매업,은평구,513854120290
20203,판매업,종로구,286836625736
20203,판매업,중구,289949257935
20203,판매업,중랑구,665645763663
20204,요식업,강남구,533242279024
20204,요식업,강동구,267247234801
20204,요식업,강북구,202949789167
20204,요식업,강서구,282080784723
20204,요식업,관악구,310761991573
20204,요식업,광진구,262511595760
20204,요식업,구로구,182639280508
20204,요식업,금천구,152071789457
20204,요식업,노원구,174067747323
20204,요식업,도봉구,109272437797
20204,요식업,동대문구,246527784013
20204,요식업,동작구,211528189816
20204,요식업,마포구,343938665516
20204,요식업,서대문구,217389260080
20204,요식업,서초구,233599408979
20204,요식업,성동구,190262733650
20204,요식업,성북구,243740745860
20204,요식업,송파구,304779034777
20204,요식업,양천구,148078177832
20204,요식업,영등포구,285554617981
20204,요식업,용산구,293906810589
20204,요식업,은평구,244913137422
20204,요식업,종로구,190178587240
20204,요식업,중구,141352679358
20204,요식업,중랑구,294490653952
20204,서비스업,강남구,492310922631
20204,서비스업,강동구,241651361078
20204,서비스업,강북구,184581632306
20204,서비스업,강서구,307695689709
20204,서비스업,관악구,304909338910
20204,서비스업,광진구,218727573661
20204,서비스업,구로구,172173147673
20204,서비스업,금천구,153278242851
20204,서비스업,노원구,102222913304
20204,서비스업,도봉구,119598381617
20204,서비스업,동대문구,182832110741
20204,서비스업,동작구,217691991097
20204,서비스업,마포구,210917927476
20204,서비스업,서대문구,144234454900
20204,서비스업,서초구,205955890506
20204,서비스업,성동구,123097791928
20204,서비스업,성북구,214632626524
20204,서비스업,송파구,311954213536
20204,서비스업,양천구,200625279073
20204,서비스업,영등포구,193522116040
20204,서비스업,용산구,107521004932
20204,서비스업,은평구,254070045770
20204,서비스업,종로구,62325013986
20204,서비스업,중구,56578935058
20204,서비스업,중랑구,239377181713
20204,판매업,강남구,1267950363532
20204,판매업,강동구,559045374618
20204,판매업,강북구,464016221413
20204,판매업,강서구,637562032548
20204,판매업,관악구,665513755736
20204,판매업,광진구,591246636036
20204,판매업,구로구,553303323013
20204,판매업,금천구,889350354382
20204,판매업,노원구,229394555584
20204,판매업,도봉구,349044426097
20204,판매업,동대문구,1005108642451
20204,판매업,동작구,438862016330
20204,판매업,마포구,568360653552
20204,판매업,서대문구,384727463326
20204,판매업,서초구,471954465470
20204,판매업,성동구,422235041381
20204,판매업,성북구,388081079591
20204,판매업,송파구,682149965059
20204,판매업,양천구,317452895832
20204,판매업,영등포구,1010661308551
20204,판매업,용산구,802683852230
20204,판매업,은평구,509442878918
20204,판매업,종로구,338280243795
20204,판매업,중구,295486063880
20204,판매업,중랑구,660200985943
20211,요식업,강남구,498303393388
20211,요식업,강동구,247462629216
20211,요식업,강북구,179224239615
20211,요식업,강서구,251797451841
20211,요식업,관악구,278354222794
20211,요식업,광진구,229203462220
20211,요식업,구로구,168004431573
20211,요식업,금천구,138217258296
20211,요식업,노원구,152485944947
20211,요식업,도봉구,102393174827
20211,요식업,동대문구,224423673207
20211,요식업,동작구,193008505196
20211,요식업,마포구,327020263019
20211,요식업,서대문구,197869627673
20211,요식업,서초구,223519409966
20211,요식업,성동구,178337545869
20211,요식업,성북구,220750444740
20211,요식업,송파구,281636307310
20211,요식업,양천구,133228272684
20211,요식업,영등포구,264056407216
20211,요식업,용산구,263867413223
20211,요식업,은평구,218008336674
20211,요식업,종로구,177889490883
20211,요식업,중구,127628338384
20211,요식업,중랑구,267794371668
20211,서비스업,강남구,531443054143
20211,서비스업,강동구,239617314508
20211,서비스업,강북구,172552031294
20211,서비스업,강서구,300027237907
20211,서비스업,관악구,305814309488
20211,서비스업,광진구,206367971697
20211,서비스업,구로구,164394750147
20211,서비스업,금천구,146042813468
20211,서비스업,노원구,102296146564
20211,서비스업,도봉구,113932934465
20211,서비스업,동대문구,180108421116
20211,서비스업,동작구,219629435971
20211,서비스업,마포구,215965138714
20211,서비스업,서대문구,141833019689
20211,서비스업,서초구,214395111650
20211,서비스업,성동구,118358165913
20211,서비스업,성북구,211562393714
20211,서비스업,송파구,314590405686
20211,서비스업,양천구,193956734727
20211,서비스업,영등포구,194922292990
20211,서비스업,용산구,102146929887
20211,서비스업,은평구,248226739986
20211,서비스업,종로구,59066534246
20211,서비스업,중구,56838905486
20211,서비스업,중랑구,227147542229
20211,판매업,강남구,1130264417191
20211,판매업,강동구,561972763452
20211,판매업,강북구,432983708911
20211,판매업,강서구,646151769330
20211,판매업,관악구,610352202692
20211,판매업,광진구,548662574367
20211,판매업,구로구,499519481576
20211,판매업,금천구,1005245657945
20211,판매업,노원구,223777267367
20211,판매업,도봉구,338367133701
20211,판매업,동대문구,1014426853367
20211,판매업,동작구,421293918071
20211,판매업,마포구,519986461441
20211,판매업,서대문구,366656800798
20211,판매업,서초구,459343630501
20211,판매업,성동구,376533722515
20211,판매업,성북구,357356404713
20211,판매업,송파구,675230797712
20211,판매업,양천구,315889740649
20211,판매업,영등포구,1009063580264
20211,판매업,용산구,663270646052
20211,판매업,은평구,480668352713
20211,판매업,종로구,324362200534
20211,판매업,중구,265085332146
20211,판매업,중랑구,639874862227
20212,요식업,강남구,605304196034
20212,요식업,강동구,288031461704
20212,요식업,강북구,217432729753
20212,요식업,강서구,300172411204
20212,요식업,관악구,336289373296
20212,요식업,광진구,276111585512
20212,요식업,구로구,203144070355
20212,요식업,금천구,165236225500
20212,요식업,노원구,188253591782
20212,요식업,도봉구,120025930329
20212,요식업,동대문구,269965609069
20212,요식업,동작구,240348185283
20212,요식업,마포구,406169926371
20212,요식업,서대문구,246587721840
20212,요식업,서초구,272500426845
20212,요식업,성동구,220696381648
20212,요식업,성북구,271142374855
20212,요식업,송파구,342473613069
20212,요식업,양천구,160671937397
20212,요식업,영등포구,324787243529
20212,요식업,용산구,348836675747
20212,요식업,은평구,257031002985
20212,요식업,종로구,228655108711
20212,요식업,중구,157007834211
20212,요식업,중랑구,321080132067
20212,서비스업,강남구,556536640218
20212,서비스업,강동구,262981000110
20212,서비스업,강북구,189108094984
20212,서비스업,강서구,331395008900
20212,서비스업,관악구,351307405956
20212,서비스업,광진구,228457394726
20212,서비스업,구로구,187415125985
20212,서비스업,금천구,159676393868
20212,서비스업,노원구,117517482460
20212,서비스업,도봉구,129467605434
20212,서비스업,동대문구,196595503885
20212,서비스업,동작구,238056764382
20212,서비스업,마포구,235517858502
20212,서비스업,서대문구,158513013347
20212,서비스업,서초구,231662424380
20212,서비스업,성동구,135508633487
20212,서비스업,성북구,230977543097
20212,서비스업,송파구,352264639929
20212,서비스업,양천구,217559417912
20212,서비스업,영등포구,217001675483
20212,서비스업,용산구,110018090197
20212,서비스업,은평구,264698044306
20212,서비스업,종로구,69763174926
20212,서비스업,중구,64062130556
20212,서비스업,중랑구,260861237243
20212,판매업,강남구,1202555973294
20212,판매업,강동구,599529186594
20212,판매업,강북구,458688607581
20212,판매업,강서구,668486685353
20212,판매업,관악구,685586188872
20212,판매업,광진구,578585547146
20212,판매업,구로구,544673473928
20212,판매업,금천구,904248271345
20212,판매업,노원구,229801144067
20212,판매업,도봉구,349225966022
20212,판매업,동대문구,1046444339483
20212,판매업,동작구,433834563627
20212,판매업,마포구,587177433500
20212,판매업,서대문구,391787404653
20212,판매업,서초구,497995090515
20212,판매업,성동구,409640915570
20212,판매업,성북구,390639474067
20212,판매업,송파구,705030298593
20212,판매업,양천구,334436622919
20212,판매업,영등포구,1037513827601
20212,판매업,용산구,712156735286
20212,판매업,은평구,528019486060
20212,판매업,종로구,331879432578
20212,판매업,중구,298580782391
20212,판매업,중랑구,697329626587
20213,요식업,강남구,517203503525
20213,요식업,강동구,274577156936
20213,요식업,강북구,209042524145
20213,요식업,강서구,282621543308
20213,요식업,관악구,312617835266
20213,요식업,광진구,250529055735
20213,요식업,구로구,186501979875
20213,요식업,금천구,151627296695
20213,요식업,노원구,169945984874
20213,요식업,도봉구,118948967079
20213,요식업,동대문구,247765101323
20213,요식업,동작구,219387808042
20213,요식업,마포구,352017826774
20213,요식업,서대문구,219607039333
20213,요식업,서초구,238189066770
20213,요식업,성동구,194221717628
20213,요식업,성북구,252133162912
20213,요식업,송파구,314768391101
20213,요식업,양천구,152040317155
20213,요식업,영등포구,290254629756
20213,요식업,용산구,294472611085
20213,요식업,은평구,243684610887
20213,요식업,종로구,198771331191
20213,요식업,중구,138451128451
20213,요식업,중랑구,302793992913
20213,서비스업,강남구,594266272595
20213,서비스업,강동구,261446166255
20213,서비스업,강북구,190117300724
20213,서비스업,강서구,324974316950
20213,서비스업,관악구,331429896858
20213,서비스업,광진구,227471316333
20213,서비스업,구로구,175805680362
20213,서비스업,금천구,159740592210
20213,서비스업,노원구,111144703571
20213,서비스업,도봉구,123189635137
20213,서비스업,동대문구,189460527637
20213,서비스업,동작구,239216558689
20213,서비스업,마포구,241662948378
20213,서비스업,서대문구,158128772604
20213,서비스업,서초구,225902476084
20213,서비스업,성동구,126366436246
20213,서비스업,성북구,238276249822
20213,서비스업,송파구,352182209124
20213,서비스업,양천구,223483224036
20213,서비스업,영등포구,211077711221
20213,서비스업,용산구,106781453821
20213,서비스업,은평구,256947393345
20213,서비스업,종로구,64398097536
20213,서비스업,중구,61418627169
20213,서비스업,중랑구,251777133623
20213,판매업,강남구,1196846194076
20213,판매업,강동구,612086401459
20213,판매업,강북구,483592844236
20213,판매업,강서구,708577825219
20213,판매업,관악구,682487589663
20213,판매업,광진구,582343201130
20213,판매업,구로구,565632460013
20213,판매업,금천구,1052804130287
20213,판매업,노원구,254564399368
20213,판매업,도봉구,371871630608
20213,판매업,동대문구,1205199695566
20213,판매업,동작구,465305169974
20213,판매업,마포구,595168640179
20213,판매업,서대문구,415060167184
20213,판매업,서초구,499744301761
20213,판매업,성동구,413380190850
20213,판매업,성북구,401659535636
20213,판매업,송파구,703266983383
20213,판매업,양천구,355550717965
20213,판매업,영등포구,1149643923524
20213,판매업,용산구,715521463973
20213,판매업,은평구,552320760650
20213,판매업,종로구,327506478828
20213,판매업,중구,291694314934
20213,판매업,중랑구,749463597685
20214,요식업,강남구,701338432506
20214,요식업,강동구,326868882968
20214,요식업,강북구,249189139912
20214,요식업,강서구,342693098193
20214,요식업,관악구,388466610809
20214,요식업,광진구,319640509604
20214,요식업,구로구,220729934354
20214,요식업,금천구,184969232586
20214,요식업,노원구,207795336004
20214,요식업,도봉구,134426064058
20214,요식업,동대문구,295596037479
20214,요식업,동작구,268181433048
20214,요식업,마포구,463130573255
